code6,name,industry,market_type,research_status,dqc_score,valuation_score,dividend_score,cashflow_score,dividend_yield,pe_ttm,pb,average_payout,cash_conversion,cash_coverage,dividend_stability,dividend_cagr,risk_flag_count,factor_status,factor_coverage
002245,蔚蓝锂芯,电池,主板,普通观察,48.8015,42.1869,48.9518,54.3209,0.5618,34.5899,3.8612,0.1535,2.2411,14.6003,0.4182,1.5840,0,有效,1.0000
300645,正元智慧,计算机设备,创业板,价值陷阱复核,48.5214,39.3339,34.2192,70.6985,0.1068,129.2483,1.8375,0.2142,16.0855,69.4949,0.6492,-0.2892,2,有效,1.0000
600727,鲁北化工,化学制品,主板,价值陷阱复核,48.5143,71.0578,42.8901,34.8156,0.7310,31.3494,1.2332,0.5211,1.4542,2.7907,0.7172,-0.2929,2,有效,1.0000
002239,奥特佳,汽车零部件,主板,普通观察,48.4266,58.1347,32.9779,55.5541,0.2042,39.6035,1.4141,0.1097,4.1031,42.2825,0.6373,-0.1191,1,有效,1.0000
603076,乐惠国际,专用设备,主板,普通观察,48.3773,36.2471,39.5098,67.6420,0.8532,122.7094,1.9069,0.9195,15.8079,6.9085,0.5680,0.1547,1,有效,1.0000
600056,中国医药,医药商业,主板,价值陷阱复核,48.3717,52.3229,43.7438,49.6130,0.9188,31.5671,1.1294,0.3000,1.7368,6.2985,0.6243,-0.3280,2,有效,1.0000
688628,优利德,通用设备,科创板,普通观察,48.3567,28.4105,77.4518,36.3585,3.4548,46.2854,6.7397,0.7863,1.0577,1.3452,0.8519,0.1097,0,有效,1.0000
605108,同庆楼,旅游及酒店,主板,价值陷阱复核,48.3120,47.4160,42.1460,55.2460,0.6243,108.6128,1.4774,0.3105,4.0993,13.2006,0.3690,-0.4590,2,有效,1.0000
002753,永东股份,橡胶制品,主板,价值陷阱复核,48.2745,49.5860,38.2844,57.1404,0.6452,92.7416,1.1087,0.5002,1.9444,3.8807,0.6184,-0.3807,2,有效,1.0000
605365,立达信,光学光电子,主板,价值陷阱复核,48.1737,73.3579,56.9417,17.8194,0.7937,35.3486,1.9817,0.5052,0.8613,1.7083,0.7294,-0.1911,2,有效,1.0000
003022,联泓新科,光伏设备,主板,普通观察,48.0767,34.5465,45.5815,62.1692,0.3534,45.2111,3.3141,0.3058,1.9623,7.4087,0.8834,-0.0646,1,有效,1.0000
603078,江化微,电子化学品,主板,普通观察,47.9608,22.6524,53.7126,63.9020,0.5042,117.1662,6.1019,0.3311,1.3834,4.4419,0.9733,0.0290,0,有效,1.0000
300580,贝斯特,汽车零部件,创业板,普通观察,47.8068,44.7804,62.1362,36.0714,0.6466,33.4834,2.7581,0.2945,0.7892,2.6793,0.8974,0.1210,1,有效,1.0000
