code6,name,final_status,growth_profile,final_score,growth_core,quality_score,balance_score,news_news_score,current_revenue_growth,current_profit_growth,revenue_acceleration,profit_acceleration,persistence_score,cash_margin,cash_to_profit,current_roe,current_net_margin,current_debt_ratio,news_news_count,news_positive_articles,news_negative_articles,news_positive_groups,news_negative_groups,low_base_flag,cash_mismatch_flag,high_debt_flag,factor_status,factor_coverage
600938,中国海油,加速/反转观察,加速成长,76.4988,71.4629,86.6032,71.3977,,16.8837,23.4205,22.1835,34.9142,66.6667,0.5837,1.6504,10.21,35.3865,28.6023,0,0,0,[],[],False,False,False,有效,1.0
002289,宇顺电子,加速/反转观察,反转/低基数,76.4748,97.1664,78.8281,9.6933,,306.7871,6380.8404,258.1475,6363.8469,83.3333,0.2782,0.5428,78.71,51.4619,90.3067,0,0,0,[],[],True,False,True,有效,1.0
600037,歌华有线,加速/反转观察,反转/低基数,76.4317,93.1297,48.478,82.2452,,44.4791,2301.633,48.5577,2152.2765,66.6667,0.0706,0.4458,1.67,15.8291,17.7548,0,0,0,[],[],True,False,False,有效,1.0
601069,西部黄金,成长质量优先,持续成长,76.3928,94.3221,68.7286,37.9334,,119.6208,315.6739,25.819,229.5808,100.0,0.1254,2.534,10.92,4.9505,62.0666,0,0,0,[],[],True,False,False,有效,1.0
002497,雅化集团,加速/反转观察,反转/低基数,76.3473,96.5033,48.2981,71.9775,,96.0196,795.4823,85.2947,649.53,83.3333,-0.0616,-0.3398,10.73,19.173,28.0225,0,0,0,[],[],True,True,False,有效,1.0
000973,佛塑科技,加速/反转观察,反转/低基数,76.2132,95.4997,60.9583,48.8635,,259.6122,1608.1199,259.4807,1617.8291,66.6667,0.0577,0.247,11.19,23.0848,51.1365,0,0,0,[],[],True,False,False,有效,1.0
002810,山东赫达,加速/反转观察,加速成长,76.2122,82.9412,76.4644,55.5209,,26.0455,88.2655,28.3286,124.3283,66.6667,0.2261,1.3002,9.28,18.6829,44.4791,0,0,0,[],[],False,False,False,有效,1.0
002645,华宏科技,加速/反转观察,反转/低基数,76.1276,91.1358,61.0796,61.1992,,77.1295,330.2963,36.6212,172.8346,66.6667,0.0866,1.4138,8.12,6.7043,38.8008,0,0,0,[],[],True,False,False,有效,1.0
601688,华泰证券,成长质量优先,持续成长,76.0644,85.4942,91.9536,15.9967,,45.8621,54.8662,39.0279,48.1414,100.0,3.3322,6.7427,6.3,49.4627,84.0033,0,0,0,[],[],False,False,True,有效,1.0
603119,浙江荣泰,成长质量优先,持续成长,75.8654,78.0189,78.6117,63.9125,,56.9259,21.6683,35.6888,0.7646,100.0,0.2842,1.7005,7.15,17.3864,36.0875,0,0,0,[],[],False,False,False,有效,1.0
600030,中信证券,成长质量优先,持续成长,75.7817,84.5593,93.2789,14.4544,,50.0035,69.6015,21.2085,31.0256,100.0,2.1255,4.5246,7.81,48.0712,85.5456,0,0,0,[],[],False,False,True,有效,1.0
002210,飞马国际,加速/反转观察,反转/低基数,75.774,81.9837,70.2634,68.1661,,15.768,556.6721,4.6365,602.5901,66.6667,0.3249,2.392,1.84,13.6651,31.8339,0,0,0,[],[],True,False,False,有效,1.0
605289,罗曼股份,加速/反转观察,反转/低基数,75.7708,80.2231,81.7268,50.5015,,118.1101,444.1003,-56.0704,188.0101,83.3333,0.5138,6.7322,5.34,10.671,49.4985,0,0,0,[],[],True,False,False,有效,1.0
601066,中信建投,加速/反转观察,加速成长,75.7593,84.2022,93.6653,14.6184,,51.1077,69.437,28.7014,38.7554,83.3333,3.7484,7.9631,8.27,47.0837,85.3816,0,0,0,[],[],False,False,True,有效,1.0
600872,中炬高新,加速/反转观察,加速成长,75.6548,78.0802,75.763,68.1625,,19.2313,61.2461,43.1283,101.1088,50.0,0.2436,1.4953,7.05,16.5055,31.8375,0,0,0,[],[],False,False,False,有效,1.0
603061,金海通,观察,增速观察,75.5811,83.884,64.971,71.8923,,95.4074,125.2134,23.7246,0.2874,83.3333,0.0962,0.3378,9.93,28.4952,28.1077,0,0,0,[],[],False,False,False,有效,1.0
002033,丽江股份,加速/反转观察,加速成长,75.2963,69.0105,75.7508,93.245,,10.9455,40.4602,4.524,39.2244,83.3333,0.33,1.0419,5.12,35.4605,6.755,0,0,0,[],[],False,False,False,有效,1.0
