date,equity,cash,position_value,exposure,total_return,drawdown,positions
2025-09-05,1.02881487,0.48982321,0.53899166,0.523896,0.028815,-0.010148,515810
2025-09-08,1.02986965,0.48982321,0.54004643,0.524383,0.02987,-0.009133,515810
2025-09-09,1.0274085,0.48982321,0.53758529,0.523244,0.027408,-0.011501,515810
2025-09-10,1.02776009,0.48982321,0.53793688,0.523407,0.02776,-0.011163,515810
2025-09-11,1.04112061,0.48982321,0.5512974,0.529523,0.041121,0.0,515810
2025-09-12,1.03971424,0.48982321,0.54989103,0.528887,0.039714,-0.001351,515810
2025-09-15,1.03971424,0.48982321,0.54989103,0.528887,0.039714,-0.001351,515810
2025-09-16,1.03971424,0.48982321,0.54989103,0.528887,0.039714,-0.001351,515810
2025-09-17,1.04428495,0.48982321,0.55446174,0.530949,0.044285,0.0,515810
2025-09-18,1.04041743,0.48982321,0.55059422,0.529205,0.040417,-0.003704,515810
2025-09-19,1.03795628,0.48982321,0.54813307,0.528089,0.037956,-0.00606,515810
2025-09-22,1.04006584,0.48982321,0.55024262,0.529046,0.040066,-0.00404,515810
2025-09-23,1.03936265,0.48982321,0.54953944,0.528727,0.039363,-0.004714,515810
2025-09-24,1.04604291,0.48982321,0.5562197,0.531737,0.046043,0.0,515810
2025-09-25,1.05061362,0.48982321,0.56079041,0.533774,0.050614,0.0,515810
2025-09-26,1.04569132,0.48982321,0.55586811,0.53158,0.045691,-0.004685,515810
2025-09-29,1.05342636,0.48982321,0.56360315,0.535019,0.053426,0.0,515810
2025-09-30,1.05588751,0.48982321,0.5660643,0.536103,0.055888,0.0,515810
2025-10-09,1.06643529,0.48982321,0.57661208,0.540691,0.066435,0.0,515810
2025-10-10,1.05448114,0.48982321,0.56465793,0.535484,0.054481,-0.011209,515810
2025-10-13,1.05342636,0.48982321,0.56360315,0.535019,0.053426,-0.012199,515810
2025-10-14,1.04569132,0.48982321,0.55586811,0.53158,0.045691,-0.019452,515810
2025-10-15,1.05096521,0.48982321,0.561142,0.53393,0.050965,-0.014506,515810
2025-10-16,1.0516684,0.48982321,0.56184518,0.534242,0.051668,-0.013847,515810
2025-10-17,1.03795628,0.48982321,0.54813307,0.528089,0.037956,-0.026705,515810
2025-10-20,1.04076902,1.04076902,0.0,0.0,0.040769,-0.024067,
2025-10-21,1.04076902,0.52038451,0.52038451,0.5,0.040769,-0.024067,159937
