date,equity,cash,position_value,exposure,total_return,drawdown,positions
2025-09-02,1.20592219,0.23092901,0.97499318,0.808504,0.205922,-0.027037,159994|515810|563330
2025-09-03,1.2034542,0.23092901,0.9725252,0.808112,0.203454,-0.029028,159994|515810|563330
2025-09-04,1.16165375,0.23092901,0.93072474,0.801207,0.161654,-0.062753,159994|515810|563330
2025-09-05,1.19943281,0.23092901,0.96850381,0.807468,0.199433,-0.032272,159994|515810|563330
2025-09-08,1.18905722,0.23092901,0.95812821,0.805788,0.189057,-0.040644,159994|515810|563330
2025-09-09,1.17714043,0.23092901,0.94621142,0.803822,0.17714,-0.050258,159994|515810|563330
2025-09-10,1.19255567,0.23092901,0.96162666,0.806358,0.192556,-0.037821,159994|515810|563330
2025-09-11,1.24606805,0.23092901,1.01513904,0.814674,0.246068,0.0,159994|515810|563330
2025-09-12,1.23756529,0.23092901,1.00663628,0.813401,0.237565,-0.006824,159994|515810|563330
2025-09-15,1.23342607,0.23092901,1.00249706,0.812774,0.233426,-0.010145,159994|515810|563330
2025-09-16,1.23669242,0.23092901,1.00576341,0.813269,0.236692,-0.007524,159994|515810|563330
2025-09-17,1.24240131,0.23092901,1.0114723,0.814127,0.242401,-0.002943,159994|515810|563330
2025-09-18,1.24376582,0.23092901,1.01283681,0.814331,0.243766,-0.001848,159994|515810|563330
2025-09-19,1.24565948,0.23092901,1.01473047,0.814613,0.245659,-0.000328,159994|515810|563330
2025-09-22,1.26275014,0.23092901,1.03182113,0.817122,0.26275,0.0,159994|515810|563330
2025-09-23,1.26270746,0.23092901,1.03177845,0.817116,0.262707,-3.4e-05,159994|515810|563330
2025-09-24,1.27015369,0.23092901,1.03922468,0.818188,0.270154,0.0,159994|515810|563330
2025-09-25,1.28165526,0.23092901,1.05072625,0.81982,0.281655,0.0,159994|515810|563330
2025-09-26,1.25650753,0.23092901,1.02557852,0.816214,0.256508,-0.019621,159994|515810|563330
2025-09-29,1.27562038,0.23092901,1.04469137,0.818967,0.27562,-0.004709,159994|515810|563330
2025-09-30,1.27397626,0.23092901,1.04304726,0.818734,0.273976,-0.005991,159994|515810|563330
2025-10-09,1.28897699,0.23092901,1.05804798,0.820843,0.288977,0.0,159994|515810|563330
2025-10-10,1.26212601,0.23092901,1.031197,0.817032,0.262126,-0.020831,159994|515810|563330
2025-10-13,1.25185469,0.23092901,1.02092568,0.81553,0.251855,-0.0288,159994|515810|563330
2025-10-14,1.21823553,0.23092901,0.98730652,0.81044,0.218236,-0.054882,159994|515810|563330
2025-10-15,1.23754801,0.64760367,0.58994434,0.476704,0.237548,-0.039899,515810|563330
2025-10-16,1.23668227,0.64760367,0.5890786,0.476338,0.236682,-0.040571,515810|563330
2025-10-17,1.22328298,0.34178292,0.88150006,0.720602,0.223283,-0.050966,159937|515810|563330
2025-10-20,1.21652484,0.92052696,0.29599788,0.243314,0.216525,-0.056209,159937
2025-10-21,1.22346804,0.92052696,0.30294108,0.247608,0.223468,-0.050822,159937
2025-10-22,1.21111746,0.92052696,0.2905905,0.239936,0.211117,-0.060404,159937
2025-10-23,1.20772585,0.92052696,0.28719889,0.237801,0.207726,-0.063035,159937
2025-10-24,1.20625402,0.92052696,0.28572706,0.236871,0.206254,-0.064177,159937
2025-10-27,1.20510216,0.92052696,0.28457519,0.236142,0.205102,-0.065071,159937
2025-10-28,1.19495933,0.92052696,0.27443236,0.229658,0.194959,-0.07294,159937
2025-10-29,1.19812696,0.92052696,0.2776,0.231695,0.198127,-0.070482,159937
2025-10-30,1.19796698,0.62103522,0.57693176,0.481592,0.197967,-0.070606,159937|560620
2025-10-31,1.19575452,0.62103522,0.57471931,0.480633,0.195755,-0.072323,159937|560620
2025-11-03,1.19753696,0.62103522,0.57650174,0.481406,0.197537,-0.07094,159937|560620
2025-11-04,1.19555319,0.62103522,0.57451797,0.480546,0.195553,-0.072479,159937|560620
2025-11-05,1.19582087,0.62103522,0.57478565,0.480662,0.195821,-0.072271,159937|560620
2025-11-06,1.20031364,0.62103522,0.57927842,0.482606,0.200314,-0.068786,159937|560620
2025-11-07,1.20089971,0.62103522,0.5798645,0.482858,0.2009,-0.068331,159937|560620
2025-11-10,1.20676675,0.31934353,0.88742322,0.735373,0.206767,-0.063779,159263|159937|560620
2025-11-11,1.20893424,0.31934353,0.88959071,0.735847,0.208934,-0.062098,159263|159937|560620
2025-11-12,1.20862844,0.31934353,0.88928491,0.73578,0.208628,-0.062335,159263|159937|560620
2025-11-13,1.2133882,0.31934353,0.89404467,0.736817,0.213388,-0.058642,159263|159937|560620
2025-11-14,1.20495307,0.31934353,0.88560954,0.734974,0.204953,-0.065187,159263|159937|560620
