date,equity,cash,position_value,exposure,total_return,drawdown,positions
2025-12-11,1.3510737,1.3510737,0.0,0.0,0.351074,-0.069287,
2025-12-12,1.3510737,1.3510737,0.0,0.0,0.351074,-0.069287,
2025-12-15,1.3510737,1.3510737,0.0,0.0,0.351074,-0.069287,
2025-12-16,1.3510737,1.3510737,0.0,0.0,0.351074,-0.069287,
2025-12-17,1.3510737,1.3510737,0.0,0.0,0.351074,-0.069287,
2025-12-18,1.3510737,0.67553685,0.67553685,0.5,0.351074,-0.069287,159206
2025-12-19,1.36069673,0.67553685,0.68515988,0.503536,0.360697,-0.062658,159206
2025-12-22,1.36310249,0.67553685,0.68756564,0.504412,0.363102,-0.061,159206
2025-12-23,1.3351957,0.67553685,0.65965885,0.494054,0.335196,-0.080225,159206
2025-12-24,1.36983861,0.67553685,0.69430176,0.506849,0.369839,-0.05636,159206
2025-12-25,1.41795377,0.67553685,0.74241692,0.523583,0.417954,-0.023215,159206
2025-12-26,1.43768099,0.67553685,0.76214414,0.53012,0.437681,-0.009626,159206
2025-12-29,1.44730402,0.67553685,0.77176717,0.533245,0.447304,-0.002997,159206
2025-12-30,1.44249251,0.67553685,0.76695566,0.531688,0.442493,-0.006311,159206
2025-12-31,1.48916421,0.67553685,0.81362736,0.546365,0.489164,0.0,159206
2026-01-05,1.50648567,0.67553685,0.83094882,0.551581,0.506486,0.0,159206
2026-01-06,1.53824167,0.67553685,0.86270482,0.560838,0.538242,0.0,159206
2026-01-07,1.52861864,0.67553685,0.85308179,0.558074,0.528619,-0.006256,159206
2026-01-08,1.58154532,0.67553685,0.90600847,0.572863,0.581545,0.0,159206
2026-01-09,1.63832121,0.67553685,0.96278436,0.587665,0.638321,0.0,159206
2026-01-12,1.73455153,0.67553685,1.05901468,0.610541,0.734552,0.0,159206
2026-01-13,1.68691752,0.67553685,1.01138067,0.599544,0.686918,-0.027462,159206
2026-01-14,1.69990861,0.67553685,1.02437176,0.602604,0.699909,-0.019972,159206
2026-01-15,1.62244321,0.67553685,0.94690635,0.58363,0.622443,-0.064632,159206
2026-01-16,1.62533011,0.67553685,0.94979326,0.584369,0.62533,-0.062968,159206
2026-01-19,1.62581127,0.67553685,0.95027442,0.584492,0.625811,-0.062691,159206
2026-01-20,1.58731914,0.67553685,0.91178229,0.574416,0.587319,-0.084882,159206
2026-01-21,1.5767338,0.67553685,0.90119695,0.571559,0.576734,-0.090985,159206
2026-01-22,1.60752751,0.67553685,0.93199065,0.579767,0.607528,-0.073232,159206
2026-01-23,1.70087092,0.67553685,1.02533407,0.602829,0.700871,-0.019417,159206
2026-01-26,1.63206624,0.67553685,0.95652939,0.586085,0.632066,-0.059085,159206
