code6,name,signals,first_signal,last_signal,avg_return,median_return,avg_adverse,last_score,win_rate
002545,东方铁塔,1,2025-06-30,2025-06-30,0.1562499999999997,0.1562499999999997,-0.0024038461538461,73.37712102377041,1.0
600989,宝丰能源,1,2026-02-27,2026-02-27,0.1463885670142912,0.1463885670142912,-0.0417149478563152,80.98379127637489,1.0
603162,海通发展,1,2026-04-30,2026-04-30,0.1169066661305515,0.1169066661305515,-0.0020000009590398,77.83115495247931,1.0
000935,四川双马,1,2025-06-30,2025-06-30,0.0875550660792952,0.0875550660792952,-0.0170704845814977,80.26139479922814,1.0
000792,盐湖股份,1,2025-07-31,2025-07-31,0.0854465270121278,0.0854465270121278,-0.0181918412348401,75.83652545614156,1.0
600276,恒瑞医药,1,2025-08-29,2025-08-29,0.0555891238670693,0.0555891238670693,-0.0362537764350453,74.48153800296708,1.0
002981,朝阳科技,1,2025-06-30,2025-06-30,0.0550300616551142,0.0550300616551142,-0.0137862367403208,73.3030178372291,1.0
601083,锦江航运,1,2025-07-31,2025-07-31,0.0459275206315035,0.0459275206315035,-0.0134553283100108,80.82006277306918,1.0
000902,新洋丰,1,2025-06-30,2025-06-30,0.04080118694362,0.04080118694362,-0.0200296735905044,78.66452923162436,1.0
000408,藏格矿业,1,2025-10-31,2025-10-31,0.0378151260504202,0.0378151260504202,-0.0966386554621848,76.68223353786185,1.0
600338,西藏珠峰,1,2025-07-31,2025-07-31,0.0366581415174764,0.0366581415174764,-0.040920716112532,77.24705281623507,1.0
002891,中宠股份,1,2024-11-29,2024-11-29,0.0343972730089867,0.0343972730089867,-0.0613572977998141,71.2408498493748,1.0
002546,新联电子,1,2025-02-28,2025-02-28,0.0342612419700214,0.0342612419700214,-0.0149892933618844,69.34073267331527,1.0
603662,柯力传感,1,2025-08-29,2025-08-29,0.024325666059904,0.024325666059904,-0.1089414749848309,74.50950870225371,1.0
002039,黔源电力,1,2025-10-31,2025-10-31,0.0068965517241379,0.0068965517241379,-0.0103448275862069,81.18501095324274,1.0
600354,敦煌种业,1,2024-11-29,2024-11-29,0.0048231511254019,0.0048231511254019,-0.1109324758842442,73.47734928729508,1.0
600615,鑫源智造,1,2025-07-31,2025-07-31,0.0015710919088767,0.0015710919088767,-0.0361351139041634,80.82163577263044,1.0
002128,电投能源,1,2026-04-30,2026-04-30,-0.0006365372374285,-0.0006365372374285,-0.0970719287078294,73.14617163549991,0.0
002577,雷柏科技,1,2024-10-31,2024-10-31,-0.0012618296529968,-0.0012618296529968,-0.0662460567823343,71.17882657637533,0.0
003031,中瓷电子,1,2025-08-29,2025-08-29,-0.0050595723845275,-0.0050595723845275,-0.1258364615635711,76.53939390652303,0.0
002028,思源电气,1,2024-10-31,2024-10-31,-0.0059891911267302,-0.0059891911267302,-0.0228783432525361,68.84944564146221,0.0
002728,特一药业,1,2025-07-31,2025-07-31,-0.0077177508269019,-0.0077177508269019,-0.0352811466372657,81.04036376353586,0.0
605305,中际联合,1,2024-11-29,2024-11-29,-0.0086673889490791,-0.0086673889490791,-0.0787287829541351,73.14987560114798,0.0
002409,雅克科技,1,2025-02-28,2025-02-28,-0.0123839009287924,-0.0123839009287924,-0.0588235294117647,69.73447659379903,0.0
002093,国脉科技,1,2024-11-29,2024-11-29,-0.0132850241545893,-0.0132850241545893,-0.0555555555555554,78.37999774172727,0.0
603390,通达电气,1,2024-10-31,2024-10-31,-0.0203644158628081,-0.0203644158628081,-0.0568060021436226,70.79505451492308,0.0
603585,苏利股份,1,2026-01-30,2026-01-30,-0.0246873657921625,-0.0246873657921625,-0.0823743778891754,73.98801306903458,0.0
601236,红塔证券,1,2024-10-31,2024-10-31,-0.0251000363768644,-0.0251000363768644,-0.0509276100400145,69.810948924943,0.0
605376,博迁新材,1,2024-11-29,2024-11-29,-0.0259567387687188,-0.0259567387687188,-0.0785357737104824,79.23044712126186,0.0
600382,广东明珠,1,2026-02-27,2026-02-27,-0.0300438843254192,-0.0300438843254192,-0.200292562169461,82.89242299632026,0.0
001270,铖昌科技,1,2025-10-31,2025-10-31,-0.0339242722696432,-0.0339242722696432,-0.0882031079010724,74.62945650952541,0.0
600909,华安证券,1,2025-10-31,2025-10-31,-0.0341614906832299,-0.0341614906832299,-0.0496894409937889,75.82473131022621,0.0
002624,完美世界,1,2025-06-30,2025-06-30,-0.0363636363636362,-0.0363636363636362,-0.0888888888888889,78.51605832716643,0.0
001221,悍高集团,1,2026-01-30,2026-01-30,-0.0368587332631262,-0.0368587332631262,-0.0580713103655784,74.48298387659231,0.0
002850,科达利,1,2025-02-28,2025-02-28,-0.0411825152161885,-0.0411825152161885,-0.0870286933839222,69.45252099550368,0.0
600988,赤峰黄金,1,2026-02-27,2026-02-27,-0.0412821758135018,-0.0412821758135018,-0.2044681884409908,77.98312939061276,0.0
600216,浙江医药,1,2024-10-31,2024-10-31,-0.0435881238155401,-0.0435881238155401,-0.0644346178142766,72.88950651684632,0.0
600598,北大荒,1,2024-10-31,2024-10-31,-0.0470836261419536,-0.0470836261419536,-0.0765987350667604,72.3056601802817,0.0
