date,equity,cash,position_value,exposure,total_return,drawdown,positions
2025-08-29,1.27571277,0.2347404,1.04097237,0.815993,0.275713,0.0,159505|159994|515860
2025-09-01,1.30728235,0.2347404,1.07254195,0.820436,0.307282,0.0,159505|159994|515860
2025-09-02,1.25856435,0.2347404,1.02382395,0.813486,0.258564,-0.037267,159505|159994|515860
2025-09-03,1.25719879,0.2347404,1.02245839,0.813283,0.257199,-0.038311,159505|159994|515860
2025-09-04,1.19705021,0.2347404,0.96230981,0.803901,0.19705,-0.084322,159505|159994|515860
2025-09-05,1.2478443,0.2347404,1.0131039,0.811883,0.247844,-0.045467,159505|159994|515860
2025-09-08,1.23593218,0.2347404,1.00119178,0.81007,0.235932,-0.054579,159505|159994|515860
2025-09-09,1.21686894,0.2347404,0.98212854,0.807095,0.216869,-0.069161,159505|159994|515860
2025-09-10,1.23995056,0.2347404,1.00521016,0.810686,0.239951,-0.051505,159505|159994|515860
2025-09-11,1.30490277,0.2347404,1.07016237,0.820109,0.304903,-0.00182,159505|159994|515860
2025-09-12,1.29727246,0.2347404,1.06253206,0.819051,0.297272,-0.007657,159505|159994|515860
2025-09-15,1.28753489,0.2347404,1.05279449,0.817682,0.287535,-0.015106,159505|159994|515860
2025-09-16,1.2977159,0.2347404,1.0629755,0.819113,0.297716,-0.007318,159505|159994|515860
2025-09-17,1.30376683,0.2347404,1.06902643,0.819952,0.303767,-0.002689,159505|159994|515860
2025-09-18,1.31203471,0.2347404,1.07729431,0.821087,0.312035,0.0,159505|159994|515860
2025-09-19,1.31407709,0.2347404,1.07933669,0.821365,0.314077,0.0,159505|159994|515860
2025-09-22,1.33692528,0.2347404,1.10218488,0.824418,0.336925,0.0,159505|159994|515860
2025-09-23,1.33339578,0.2347404,1.09865538,0.823953,0.333396,-0.00264,159505|159994|515860
2025-09-24,1.34425367,0.2347404,1.10951327,0.825375,0.344254,0.0,159505|159994|515860
2025-09-25,1.35355552,0.2347404,1.11881512,0.826575,0.353556,0.0,159505|159994|515860
2025-09-26,1.3225215,0.2347404,1.0877811,0.822505,0.322521,-0.022928,159505|159994|515860
2025-09-29,1.34101994,0.2347404,1.10627954,0.824954,0.34102,-0.009261,159505|159994|515860
2025-09-30,1.34122803,0.2347404,1.10648763,0.824981,0.341228,-0.009107,159505|159994|515860
2025-10-09,1.35715956,0.2347404,1.12241916,0.827036,0.35716,0.0,159505|159994|515860
2025-10-10,1.32740859,0.2347404,1.09266819,0.823159,0.327409,-0.021921,159505|159994|515860
2025-10-13,1.31425906,0.2347404,1.07951866,0.82139,0.314259,-0.031611,159505|159994|515860
2025-10-14,1.26843684,0.2347404,1.03369644,0.814937,0.268437,-0.065374,159505|159994|515860
2025-10-15,1.29381637,0.32614984,0.96766653,0.747916,0.293816,-0.046673,159505|159937|515860
2025-10-16,1.29549447,0.00227622,1.29321825,0.998243,0.295494,-0.045437,159326|159505|159937|515860
2025-10-17,1.2628907,0.00227622,1.26061448,0.998198,0.262891,-0.06946,159326|159505|159937|515860
2025-10-20,1.2643009,0.62636817,0.63793273,0.504573,0.264301,-0.068421,159326|159937
2025-10-21,1.27978571,0.62636817,0.65341753,0.510568,0.279786,-0.057012,159326|159937
2025-10-22,1.25948744,0.62636817,0.63311927,0.50268,0.259487,-0.071968,159326|159937
2025-10-23,1.25505589,0.62636817,0.62868772,0.500924,0.255056,-0.075233,159326|159937
2025-10-24,1.25826638,0.62636817,0.63189821,0.502197,0.258266,-0.072868,159326|159937
2025-10-27,1.26136942,0.62636817,0.63500124,0.503422,0.261369,-0.070581,159326|159937
2025-10-28,1.24787988,0.62636817,0.6215117,0.498054,0.24788,-0.080521,159326|159937
2025-10-29,1.26886806,0.62636817,0.64249988,0.506357,0.268868,-0.065056,159326|159937
2025-10-30,1.26155579,0.31097923,0.95057656,0.753495,0.261556,-0.070444,159326|159937|560620
2025-10-31,1.25708218,0.31097923,0.94610296,0.752618,0.257082,-0.07374,159326|159937|560620
2025-11-03,1.26610942,0.31097923,0.95513019,0.754382,0.266109,-0.067089,159326|159937|560620
2025-11-04,1.26369111,0.31097923,0.95271188,0.753912,0.263691,-0.068871,159326|159937|560620
2025-11-05,1.2816511,0.31097923,0.97067187,0.75736,0.281651,-0.055637,159326|159937|560620
2025-11-06,1.29497436,0.31097923,0.98399513,0.759857,0.294974,-0.04582,159326|159937|560620
2025-11-07,1.29818272,0.31097923,0.98720349,0.76045,0.298183,-0.043456,159326|159937|560620
2025-11-10,1.30206237,0.31097923,0.99108315,0.761164,0.302062,-0.040597,159326|159937|560620
2025-11-11,1.30009416,0.31097923,0.98911493,0.760803,0.300094,-0.042048,159326|159937|560620
2025-11-12,1.28950359,0.31097923,0.97852437,0.758838,0.289504,-0.049851,159326|159937|560620
2025-11-13,1.29926224,0.31097923,0.98828301,0.760649,0.299262,-0.042661,159326|159937|560620
2025-11-14,1.28535966,0.31097923,0.97438044,0.758061,0.28536,-0.052905,159326|159937|560620
2025-11-17,1.27205464,0.31097923,0.96107542,0.75553,0.272055,-0.062708,159326|159937|560620
2025-11-18,1.2592025,0.62017522,0.63902728,0.507486,0.259202,-0.072178,159326|560620
2025-11-19,1.25660939,0.9267509,0.32985849,0.262499,0.256609,-0.074089,159326
2025-11-20,1.25476789,1.25476789,0.0,0.0,0.254768,-0.075446,
2025-11-21,1.25476789,1.25476789,0.0,0.0,0.254768,-0.075446,
2025-11-24,1.25476789,1.25476789,0.0,0.0,0.254768,-0.075446,
2025-11-25,1.25476789,1.25476789,0.0,0.0,0.254768,-0.075446,
2025-11-26,1.25476789,1.25476789,0.0,0.0,0.254768,-0.075446,
2025-11-27,1.25476789,1.25476789,0.0,0.0,0.254768,-0.075446,
2025-11-28,1.25476789,1.25476789,0.0,0.0,0.254768,-0.075446,
